industry_name,value
Advertising,5f48ce5f2a9bb065cdfa1730
Aeronautics Aerospace & Defence,5f48ce5f2a9bb065cdfa1731
Agriculture,5f48ce5f2a9bb065cdfa1732
AI,5f48ce5f2a9bb065cdfa1733
Airport Operations,5f48d0ca2a9bb065cdfc47b2
Analytics,5f48ce5f2a9bb065cdfa1734
Animation,5f48ce5f2a9bb065cdfa1735
AR VR (Augmented + Virtual Reality),5f48ce5f2a9bb065cdfa1736
Architecture Interior Design,5f48ce5f2a9bb065cdfa1737
Art & Photography,5f48ce5f2a9bb065cdfa1738
Automotive,5f48ce5f2a9bb065cdfa1739
Biotechnology,5f48d0ca2a9bb065cdfc47b5
Chemicals,5f48ce5f2a9bb065cdfa173a
Computer Vision,5f48ce5f2a9bb065cdfa173c
Construction,5f48ce5f2a9bb065cdfa173d
Dating Matrimonial,5f48ce5f2a9bb065cdfa173e
Design,5f48ce5f2a9bb065cdfa173f
Education,5f48ce5f2a9bb065cdfa1740
Enterprise Software,5f48ce5f2a9bb065cdfa1744
Events,5f48ce5f2a9bb065cdfa1745
Fashion,5f48ce5f2a9bb065cdfa1746
Finance Technology,5f48ce5f2a9bb065cdfa1747
Food & Beverages,5f48ce5f2a9bb065cdfa1748
Green Technology,5f48ce5f2a9bb065cdfa1743
Healthcare & Lifesciences,5f48ce5f2a9bb065cdfa174a
House-Hold Services,5f48ce5f2a9bb065cdfa1759
Human Resources,5f48ce5f2a9bb065cdfa174b
Indic Language Startups,5f48ce5f2a9bb065cdfa1760
Internet of Things,5f48ce5f2a9bb065cdfa174c
IT Services,5f48ce5f2a9bb065cdfa174d
Logistics,5f48d0ca2a9bb065cdfc47b1
Marketing,5f48ce5f2a9bb065cdfa174e
Media & Entertainment,5f48ce5f2a9bb065cdfa174f
Nanotechnology,5f48ce5f2a9bb065cdfa1750
Non- Renewable Energy,5f48ce5f2a9bb065cdfa1741
Other Specialty Retailers,5f48ce5f2a9bb065cdfa1755
Others,5f02e3936f3de87babe21085
Passenger Experience,5f48d0ca2a9bb065cdfc47b4
Pets & Animals,5f48ce5f2a9bb065cdfa1751
Professional & Commercial Services,5f48ce5f2a9bb065cdfa1752
Real Estate,5f48ce5f2a9bb065cdfa1753
Renewable Energy,5f48ce5f2a9bb065cdfa1742
Retail,5f48ce5f2a9bb065cdfa1754
Robotics,5f48ce5f2a9bb065cdfa1756
Safety,5f48ce5f2a9bb065cdfa1757
Security Solutions,5f48ce5f2a9bb065cdfa1758
Social Impact,5f48ce5f2a9bb065cdfa175a
Social Network,5f48ce5f2a9bb065cdfa175b
Sports,5f48ce5f2a9bb065cdfa175c
Technology Hardware,5f48ce5f2a9bb065cdfa1749
Telecommunication & Networking,5f48ce5f2a9bb065cdfa173b
Textiles & Apparel,5f48ce5f2a9bb065cdfa175d
Toys and Games,5fa69741204c3d4ed00bc282
Transportation & Storage,5f48ce5f2a9bb065cdfa175e
Travel & Tourism,5f48ce5f2a9bb065cdfa175f
Waste Management,5f48d0ca2a9bb065cdfc47b3
